Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg HR,Max HR,Total Strokes,Avg Strokes,Calories
1,MIXED,20,475,00:11:14.420,2:08,1:59,46.0,110.0,123.0,256,13.5,97
1.1,--,1,0,00:01:04.000,--,--,--,82.0,102.0,--,--,--
1.2,BREASTSTROKE,1,25,00:00:33.812,2:15,2:15,44.0,93.0,114.0,10,--,7
1.3,FREESTYLE,1,25,00:00:30.000,1:60,1:60,42.0,118.0,119.0,12,--,5
1.4,FREESTYLE,1,25,00:00:30.875,2:04,2:04,44.0,109.0,111.0,13,--,5
1.5,FREESTYLE,1,25,00:00:31.812,2:07,2:07,45.0,108.0,111.0,13,--,5
1.6,FREESTYLE,1,25,00:00:31.062,2:04,2:04,44.0,111.0,114.0,13,--,5
1.7,FREESTYLE,1,25,00:00:34.125,2:16,2:16,49.0,112.0,115.0,15,--,5
1.8,FREESTYLE,1,25,00:00:30.812,2:03,2:03,44.0,115.0,118.0,13,--,5
1.9,FREESTYLE,1,25,00:00:32.061,2:08,2:08,44.0,115.0,117.0,12,--,5
1.10,FREESTYLE,1,25,00:00:34.875,2:20,2:20,49.0,110.0,112.0,14,--,5
1.11,FREESTYLE,1,25,00:00:32.561,2:10,2:10,48.0,110.0,112.0,15,--,5
1.12,FREESTYLE,1,25,00:00:33.187,2:13,2:13,47.0,113.0,114.0,14,--,5
1.13,FREESTYLE,1,25,00:00:31.125,2:05,2:05,44.0,116.0,119.0,13,--,5
1.14,FREESTYLE,1,25,00:00:32.061,2:08,2:08,46.0,121.0,123.0,14,--,5
1.15,FREESTYLE,1,25,00:00:29.750,1:59,1:59,43.0,117.0,121.0,13,--,5
1.16,FREESTYLE,1,25,00:00:33.812,2:15,2:15,50.0,116.0,118.0,16,--,5
1.17,FREESTYLE,1,25,00:00:31.937,2:08,2:08,46.0,114.0,117.0,14,--,5
1.18,FREESTYLE,1,25,00:00:33.625,2:14,2:14,49.0,115.0,116.0,15,--,5
1.19,FREESTYLE,1,25,00:00:30.812,2:03,2:03,44.0,118.0,121.0,13,--,5
1.20,FREESTYLE,1,25,00:00:32.113,2:08,2:08,46.0,116.0,118.0,14,--,5
REST,,,0,00:00:15.004,--,--,0.0,112.0,116.0,0,0.0,1
2,FREESTYLE,4,100,00:01:54.175,1:54,1:48,41.0,116.0,121.0,49,12.300000190734863,20
2.1,FREESTYLE,1,25,00:00:30.625,2:03,2:03,43.0,117.0,121.0,12,--,5
2.2,FREESTYLE,1,25,00:00:28.812,1:55,1:55,41.0,115.0,118.0,12,--,5
2.3,FREESTYLE,1,25,00:00:27.750,1:51,1:51,40.0,115.0,117.0,12,--,5
2.4,FREESTYLE,1,25,00:00:26.988,1:48,1:48,40.0,117.0,118.0,13,--,5
REST,,,0,00:00:15.005,--,--,0.0,116.0,118.0,0,0.0,1
3,FREESTYLE,4,100,00:01:53.893,1:54,1:43,41.0,117.0,123.0,51,12.800000190734863,20
3.1,FREESTYLE,1,25,00:00:29.625,1:58,1:58,42.0,113.0,122.0,12,--,5
3.2,FREESTYLE,1,25,00:00:29.500,1:58,1:58,43.0,116.0,119.0,13,--,5
3.3,FREESTYLE,1,25,00:00:29.062,1:56,1:56,43.0,120.0,123.0,14,--,5
3.4,FREESTYLE,1,25,00:00:25.706,1:43,1:43,38.0,121.0,122.0,12,--,5
REST,,,0,00:00:15.006,--,--,0.0,117.0,119.0,0,0.0,1
4,FREESTYLE,4,100,00:01:54.832,1:55,1:46,42.0,122.0,129.0,52,13.0,20
4.1,FREESTYLE,1,25,00:00:29.625,1:58,1:58,43.0,117.0,121.0,13,--,5
4.2,FREESTYLE,1,25,00:00:29.250,1:57,1:57,42.0,126.0,129.0,13,--,5
4.3,FREESTYLE,1,25,00:00:29.500,1:58,1:58,44.0,124.0,127.0,14,--,5
4.4,FREESTYLE,1,25,00:00:26.457,1:46,1:46,38.0,123.0,126.0,12,--,5
REST,,,0,00:00:15.005,--,--,0.0,122.0,123.0,0,0.0,1
5,FREESTYLE,4,100,00:01:53.060,1:53,1:45,41.0,122.0,126.0,52,13.0,20
5.1,FREESTYLE,1,25,00:00:28.875,1:55,1:55,42.0,122.0,125.0,13,--,5
5.2,FREESTYLE,1,25,00:00:30.062,2:00,2:00,43.0,121.0,125.0,13,--,5
5.3,FREESTYLE,1,25,00:00:26.125,1:45,1:45,39.0,123.0,126.0,13,--,5
5.4,FREESTYLE,1,25,00:00:27.998,1:52,1:52,41.0,121.0,123.0,13,--,5
REST,,,0,00:00:15.005,--,--,0.0,121.0,123.0,0,0.0,1
6,FREESTYLE,4,100,00:01:56.295,1:56,1:44,42.0,123.0,129.0,51,12.800000190734863,20
6.1,FREESTYLE,1,25,00:00:30.687,2:03,2:03,44.0,123.0,127.0,13,--,5
6.2,FREESTYLE,1,25,00:00:28.375,1:53,1:53,40.0,127.0,129.0,12,--,5
6.3,FREESTYLE,1,25,00:00:31.312,2:05,2:05,45.0,122.0,126.0,14,--,5
6.4,FREESTYLE,1,25,00:00:25.921,1:44,1:44,38.0,121.0,122.0,12,--,5
REST,,,0,00:00:15.003,--,--,0.0,117.0,118.0,0,0.0,1
REST,,,0,00:00:15.003,--,--,0.0,119.0,122.0,0,0.0,1
7,FREESTYLE,10,250,00:05:46.251,2:19,2:09,49.0,141.0,154.0,146,14.600000381469727,50
7.1,FREESTYLE,1,25,00:00:37.750,2:31,2:31,53.0,130.0,144.0,15,--,5
7.2,FREESTYLE,1,25,00:00:33.687,2:15,2:15,49.0,145.0,147.0,15,--,5
7.3,FREESTYLE,1,25,00:00:32.311,2:09,2:09,46.0,142.0,144.0,14,--,5
7.4,FREESTYLE,1,25,00:00:32.812,2:11,2:11,47.0,141.0,144.0,14,--,5
7.5,FREESTYLE,1,25,00:00:35.625,2:22,2:22,50.0,139.0,141.0,14,--,5
7.6,FREESTYLE,1,25,00:00:38.625,2:34,2:34,56.0,148.0,154.0,17,--,5
7.7,FREESTYLE,1,25,00:00:32.812,2:11,2:11,47.0,146.0,151.0,14,--,5
7.8,FREESTYLE,1,25,00:00:34.375,2:18,2:18,49.0,140.0,145.0,15,--,5
7.9,FREESTYLE,1,25,00:00:32.500,2:10,2:10,47.0,138.0,146.0,14,--,5
7.10,FREESTYLE,1,25,00:00:35.753,2:23,2:23,50.0,145.0,148.0,14,--,5
REST,,,0,00:00:09.722,--,--,0.0,146.0,148.0,0,0.0,1
REST,,,0,00:00:05.255,--,--,0.0,133.0,136.0,0,0.0,0
8,FREESTYLE,2,50,00:00:54.209,1:48,1:39,39.0,141.0,150.0,24,12.0,10
8.1,FREESTYLE,1,25,00:00:29.375,1:58,1:58,41.0,134.0,147.0,12,--,5
8.2,FREESTYLE,1,25,00:00:24.834,1:39,1:39,37.0,148.0,150.0,12,--,5
REST,,,0,00:00:20.003,--,--,0.0,143.0,149.0,0,0.0,1
9,FREESTYLE,2,50,00:00:56.780,1:54,1:53,41.0,149.0,160.0,25,12.5,10
9.1,FREESTYLE,1,25,00:00:28.187,1:53,1:53,40.0,141.0,151.0,12,--,5
9.2,FREESTYLE,1,25,00:00:28.593,1:54,1:54,42.0,157.0,160.0,13,--,5
REST,,,0,00:00:20.003,--,--,0.0,152.0,157.0,0,0.0,1
10,FREESTYLE,2,50,00:00:50.036,1:40,1:32,37.0,158.0,165.0,24,12.0,10
10.1,FREESTYLE,1,25,00:00:27.000,1:48,1:48,40.0,154.0,165.0,13,--,5
10.2,FREESTYLE,1,25,00:00:23.036,1:32,1:32,34.0,162.0,163.0,11,--,5
REST,,,0,00:00:20.003,--,--,0.0,154.0,161.0,0,0.0,1
11,FREESTYLE,2,50,00:00:56.333,1:53,1:49,41.0,153.0,158.0,25,12.5,10
11.1,FREESTYLE,1,25,00:00:29.000,1:56,1:56,41.0,153.0,158.0,12,--,5
11.2,FREESTYLE,1,25,00:00:27.333,1:49,1:49,40.0,153.0,155.0,13,--,5
REST,,,0,00:00:20.004,--,--,0.0,150.0,153.0,0,0.0,1
12,FREESTYLE,2,50,00:00:50.728,1:41,1:32,37.0,156.0,162.0,24,12.0,10
12.1,FREESTYLE,1,25,00:00:27.687,1:51,1:51,40.0,154.0,160.0,12,--,5
12.2,FREESTYLE,1,25,00:00:23.041,1:32,1:32,35.0,159.0,162.0,12,--,5
REST,,,0,00:00:20.003,--,--,0.0,156.0,160.0,0,0.0,1
REST,,,0,00:00:15.004,--,--,0.0,156.0,159.0,0,0.0,1
13,FREESTYLE,10,250,00:06:03.999,2:26,2:16,52.0,159.0,167.0,154,15.399999618530273,50
13.1,FREESTYLE,1,25,00:00:37.500,2:30,2:30,54.0,158.0,166.0,16,--,5
13.2,FREESTYLE,1,25,00:00:33.937,2:16,2:16,49.0,166.0,167.0,15,--,5
13.3,FREESTYLE,1,25,00:00:34.875,2:20,2:20,50.0,164.0,166.0,15,--,5
13.4,FREESTYLE,1,25,00:00:37.500,2:30,2:30,54.0,161.0,163.0,16,--,5
13.5,FREESTYLE,1,25,00:00:35.250,2:21,2:21,49.0,159.0,161.0,14,--,5
13.6,FREESTYLE,1,25,00:00:37.437,2:30,2:30,53.0,160.0,163.0,16,--,5
13.7,FREESTYLE,1,25,00:00:35.187,2:21,2:21,50.0,159.0,161.0,15,--,5
13.8,FREESTYLE,1,25,00:00:38.437,2:34,2:34,54.0,158.0,160.0,16,--,5
13.9,FREESTYLE,1,25,00:00:36.187,2:25,2:25,52.0,155.0,157.0,16,--,5
13.10,FREESTYLE,1,25,00:00:37.689,2:31,2:31,53.0,152.0,155.0,15,--,5
REST,,,0,00:00:01.299,--,--,0.0,148.0,148.0,0,0.0,0
Summary,,70,1725,00:41:01.338,2:05,1:32,45.0,131.0,167.0,933,13.5,361
