Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Speed,Avg Moving Speed,Max Speed,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Avg Power,Max Power,Avg Temperature,Calories
1,00:05:00.000,00:05:00.000,2.12,--,--,25.4,25.4,26.67,118.0,126.0,58.0,62.0,173.0,172.0,196.0,30,58
2,00:10:00.000,00:10:00.000,4.93,--,--,29.57,29.57,33.99,126.0,136.0,68.0,78.0,168.0,167.0,253.0,30,115
3,00:09:05.708,00:09:05.708,5,--,--,32.98,32.98,34.63,154.0,164.0,75.0,80.0,226.0,227.0,315.0,30,137
4,00:09:02.902,00:09:02.902,5,--,--,33.16,33.16,34.16,166.0,170.0,76.0,79.0,230.0,230.0,268.0,30,138
5,00:09:29.795,00:09:29.000,5,--,--,31.59,31.63,33.93,157.0,171.0,72.0,78.0,203.0,202.0,255.0,29,129
6,00:02:21.594,00:02:21.594,1.2,--,--,30.58,30.58,31.14,158.0,160.0,70.0,72.0,185.0,184.0,200.0,29,30
7,00:10:00.000,00:09:59.000,4.83,--,--,28.98,29.03,33.19,140.0,158.0,66.0,76.0,159.0,158.0,221.0,30,109
8,00:05:00.000,00:05:00.000,2.46,--,--,29.58,29.58,30.9,124.0,134.0,67.0,71.0,127.0,125.0,149.0,29,45
9,00:00:00.213,00:00:00.213,0.01,--,--,154.56,154.48,30.2,120.0,120.0,69.0,69.0,126.0,139.0,139.0,29,0
Summary,01:00:00.212,00:59:58.417,30.55,--,--,30.55,30.57,34.63,144.0,171.0,70.0,80.0,196.0,187.0,315.0,29.72,760
