Split,Swim Stroke,Lengths,Distance,Time,Avg Pace,Best Pace,Avg SWOLF,Avg HR,Max HR,Total Strokes,Avg Strokes,Calories
1,MIXED,9,200,00:05:23.692,2:14,2:02,48.0,110.0,130.0,116,14.5,40
1.1,--,1,0,00:00:55.000,--,--,--,84.0,92.0,--,--,--
1.2,FREESTYLE,1,25,00:00:34.812,2:19,2:19,49.0,108.0,126.0,14,--,5
1.3,FREESTYLE,1,25,00:00:32.186,2:09,2:09,46.0,127.0,130.0,14,--,5
1.4,FREESTYLE,1,25,00:00:31.125,2:05,2:05,45.0,126.0,129.0,14,--,5
1.5,FREESTYLE,1,25,00:00:35.687,2:23,2:23,51.0,124.0,130.0,15,--,5
1.6,FREESTYLE,1,25,00:00:35.625,2:22,2:22,51.0,112.0,117.0,15,--,5
1.7,FREESTYLE,1,25,00:00:30.500,2:02,2:02,46.0,109.0,114.0,15,--,5
1.8,FREESTYLE,1,25,00:00:35.500,2:22,2:22,51.0,110.0,114.0,15,--,5
1.9,FREESTYLE,1,25,00:00:33.256,2:13,2:13,47.0,105.0,110.0,14,--,5
2,FREESTYLE,1,25,00:00:31.690,2:07,2:07,43.0,106.0,110.0,11,11.0,5
2.1,FREESTYLE,1,25,00:00:31.690,2:07,2:07,43.0,106.0,110.0,11,--,5
REST,,,0,00:00:15.003,--,--,0.0,101.0,104.0,0,0.0,1
REST,,,0,00:00:00.292,--,--,0.0,102.0,102.0,0,0.0,0
3,FREESTYLE,16,400,00:07:51.429,1:58,1:45,43.0,131.0,160.0,217,13.600000381469727,80
3.1,FREESTYLE,1,25,00:00:28.750,1:55,1:55,42.0,107.0,114.0,13,--,5
3.2,FREESTYLE,1,25,00:00:27.187,1:49,1:49,40.0,124.0,126.0,13,--,5
3.3,FREESTYLE,1,25,00:00:26.187,1:45,1:45,38.0,121.0,125.0,12,--,5
3.4,FREESTYLE,1,25,00:00:28.312,1:53,1:53,42.0,115.0,117.0,14,--,5
3.5,FREESTYLE,1,25,00:00:28.312,1:53,1:53,40.0,118.0,123.0,12,--,5
3.6,FREESTYLE,1,25,00:00:29.937,1:60,1:60,44.0,115.0,119.0,14,--,5
3.7,FREESTYLE,1,25,00:00:30.687,2:03,2:03,45.0,124.0,131.0,14,--,5
3.8,FREESTYLE,1,25,00:00:29.937,1:60,1:60,43.0,127.0,129.0,13,--,5
3.9,FREESTYLE,1,25,00:00:30.250,2:01,2:01,44.0,130.0,132.0,14,--,5
3.10,FREESTYLE,1,25,00:00:30.437,2:02,2:02,44.0,133.0,138.0,14,--,5
3.11,FREESTYLE,1,25,00:00:28.937,1:56,1:56,43.0,139.0,143.0,14,--,5
3.12,FREESTYLE,1,25,00:00:31.750,2:07,2:07,46.0,140.0,143.0,14,--,5
3.13,FREESTYLE,1,25,00:00:29.625,1:58,1:58,44.0,139.0,143.0,14,--,5
3.14,FREESTYLE,1,25,00:00:30.125,2:00,2:00,44.0,143.0,147.0,14,--,5
3.15,FREESTYLE,1,25,00:00:31.187,2:05,2:05,45.0,158.0,160.0,14,--,5
3.16,FREESTYLE,1,25,00:00:29.809,1:59,1:59,44.0,157.0,159.0,14,--,5
REST,,,0,00:02:00.004,--,--,0.0,131.0,155.0,0,0.0,9
4,FREESTYLE,8,200,00:03:41.962,1:51,1:41,41.0,149.0,160.0,104,13.0,40
4.1,FREESTYLE,1,25,00:00:27.250,1:49,1:49,39.0,124.0,138.0,12,--,5
4.2,FREESTYLE,1,25,00:00:25.687,1:43,1:43,39.0,143.0,150.0,13,--,5
4.3,FREESTYLE,1,25,00:00:25.312,1:41,1:41,37.0,150.0,151.0,12,--,5
4.4,FREESTYLE,1,25,00:00:29.000,1:56,1:56,42.0,153.0,154.0,13,--,5
4.5,FREESTYLE,1,25,00:00:27.562,1:50,1:50,42.0,156.0,160.0,14,--,5
4.6,FREESTYLE,1,25,00:00:31.812,2:07,2:07,46.0,156.0,159.0,14,--,5
4.7,FREESTYLE,1,25,00:00:29.375,1:58,1:58,43.0,157.0,160.0,14,--,5
4.8,FREESTYLE,1,25,00:00:25.964,1:44,1:44,38.0,156.0,158.0,12,--,5
REST,,,0,00:02:00.004,--,--,0.0,129.0,158.0,0,0.0,9
5,FREESTYLE,26,650,00:14:43.750,2:16,2:02,48.0,140.0,153.0,361,13.899999618530273,130
5.1,FREESTYLE,1,25,00:00:33.437,2:14,2:14,46.0,119.0,134.0,13,--,5
5.2,FREESTYLE,1,25,00:00:33.312,2:13,2:13,47.0,133.0,137.0,14,--,5
5.3,FREESTYLE,1,25,00:00:30.500,2:02,2:02,45.0,134.0,136.0,14,--,5
5.4,FREESTYLE,1,25,00:00:34.937,2:20,2:20,50.0,135.0,137.0,15,--,5
5.5,FREESTYLE,1,25,00:00:32.937,2:12,2:12,46.0,137.0,141.0,13,--,5
5.6,FREESTYLE,1,25,00:00:35.750,2:23,2:23,51.0,134.0,136.0,15,--,5
5.7,FREESTYLE,1,25,00:00:35.812,2:23,2:23,50.0,134.0,138.0,14,--,5
5.8,FREESTYLE,1,25,00:00:35.125,2:20,2:20,50.0,137.0,139.0,15,--,5
5.9,FREESTYLE,1,25,00:00:33.250,2:13,2:13,47.0,136.0,138.0,14,--,5
5.10,FREESTYLE,1,25,00:00:32.750,2:11,2:11,46.0,136.0,141.0,13,--,5
5.11,FREESTYLE,1,25,00:00:33.562,2:14,2:14,48.0,139.0,142.0,14,--,5
5.12,FREESTYLE,1,25,00:00:33.000,2:12,2:12,48.0,140.0,145.0,15,--,5
5.13,FREESTYLE,1,25,00:00:34.187,2:17,2:17,48.0,143.0,145.0,14,--,5
5.14,FREESTYLE,1,25,00:00:33.937,2:16,2:16,47.0,144.0,145.0,13,--,5
5.15,FREESTYLE,1,25,00:00:35.250,2:21,2:21,49.0,143.0,145.0,14,--,5
5.16,FREESTYLE,1,25,00:00:37.000,2:28,2:28,52.0,140.0,145.0,15,--,5
5.17,FREESTYLE,1,25,00:00:32.875,2:12,2:12,46.0,140.0,142.0,13,--,5
5.18,FREESTYLE,1,25,00:00:31.562,2:06,2:06,46.0,144.0,146.0,14,--,5
5.19,FREESTYLE,1,25,00:00:36.562,2:26,2:26,51.0,146.0,148.0,14,--,5
5.20,FREESTYLE,1,25,00:00:35.687,2:23,2:23,49.0,149.0,153.0,13,--,5
5.21,FREESTYLE,1,25,00:00:31.125,2:05,2:05,44.0,146.0,148.0,13,--,5
5.22,FREESTYLE,1,25,00:00:36.437,2:26,2:26,51.0,147.0,150.0,15,--,5
5.23,FREESTYLE,1,25,00:00:36.500,2:26,2:26,51.0,149.0,151.0,14,--,5
5.24,FREESTYLE,1,25,00:00:32.561,2:10,2:10,46.0,148.0,150.0,13,--,5
5.25,FREESTYLE,1,25,00:00:33.562,2:14,2:14,48.0,147.0,149.0,14,--,5
5.26,FREESTYLE,1,25,00:00:32.131,2:09,2:09,45.0,147.0,149.0,13,--,5
REST,,,0,00:00:04.018,--,--,0.0,148.0,149.0,0,0.0,0
Summary,,60,1475,00:36:31.844,2:07,1:41,46.0,133.0,160.0,809,13.699999809265137,314
