Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:00.000,00:05:00.000,0.81,12,0,0:06:09  ,0:06:09  ,0:04:56  ,163.765625,170.0,97.32000122070313,137.0,147.0,29,58
2,00:05:30.307,00:05:30.307,1,0,16,0:05:30  ,0:05:30  ,0:04:56  ,167.78125,171.0,104.18000488281251,150.0,159.0,26,63
3,00:05:34.272,00:05:34.000,1,9,5,0:05:34  ,0:05:34  ,0:05:00  ,168.125,170.0,106.00999755859375,152.0,160.0,24,72
4,00:05:40.812,00:05:40.812,1,7,6,0:05:40  ,0:05:40  ,0:05:29  ,167.421875,171.0,103.0199951171875,144.0,152.0,24,71
5,00:05:38.795,00:05:38.795,1,16,6,0:05:38  ,0:05:38  ,0:05:03  ,167.03125,170.0,103.3800048828125,147.0,158.0,24,71
6,00:05:20.550,00:05:20.000,1,7,4,0:05:20  ,0:05:20  ,0:04:54  ,168.78125,171.0,109.04000244140626,151.0,157.0,25,71
7,00:05:10.695,00:05:10.695,1,1,8,0:05:10  ,0:05:10  ,0:04:53  ,168.5,170.0,110.6199951171875,148.0,155.0,25,66
8,00:05:35.446,00:05:31.000,1,3,12,0:05:35  ,0:05:31  ,0:05:09  ,168.375,175.0,102.05999755859375,143.0,153.0,25,63
9,00:05:49.749,00:05:49.749,1,29,10,0:05:49  ,0:05:49  ,0:05:09  ,166.296875,171.0,98.34000244140626,152.0,164.0,25,73
10,00:05:42.033,00:05:42.000,1,20,5,0:05:41  ,0:05:42  ,0:04:42  ,167.09375,170.0,102.54000244140626,151.0,160.0,24,71
11,00:05:46.355,00:05:46.000,1,4,4,0:05:46  ,0:05:46  ,0:05:18  ,165.484375,169.0,104.95,151.0,157.0,25,73
12,00:05:42.098,00:05:42.000,1,1,5,0:05:42  ,0:05:42  ,0:05:22  ,164.3125,167.0,107.55000000000001,150.0,156.0,25,70
13,00:05:37.186,00:05:37.000,1,0,6,0:05:37  ,0:05:37  ,0:05:31  ,164.6875,169.0,107.8199951171875,149.0,153.0,25,68
14,00:05:48.187,00:05:48.187,1,1,3,0:05:48  ,0:05:48  ,0:05:19  ,163.9375,170.0,105.65999755859376,145.0,149.0,26,69
15,00:05:31.574,00:05:31.000,1,4,7,0:05:31  ,0:05:31  ,0:05:18  ,165.421875,169.0,105.74000244140626,147.0,154.0,26,65
16,00:01:31.941,00:01:31.941,0.26,1,0,0:05:50  ,0:05:50  ,0:05:39  ,164.0,166.0,97.55000000000001,143.0,148.0,25,17
17,00:00:00.434,00:00:00.434,0,0,1,0:02:03  ,0:02:03  ,0:05:44  ,161.0,161.0,114.5,141.0,141.0,25,0
Summary,01:25:00.434,01:24:53.920,15.08,121,101,0:05:38  ,0:05:37  ,0:04:42  ,166.40625,175.0,104.43000488281251,148.0,164.0,25.17,1042
