Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Speed,Avg Moving Speed,Max Speed,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Avg Power,Max Power,Avg Temperature,Calories
1,00:05:00.000,00:05:00.000,2.18,--,--,26.19,26.19,28.22,105.0,115.0,59.0,65.0,140.0,138.0,194.0,32,49
2,00:10:08.315,00:10:08.315,5,--,--,29.59,29.59,30.67,121.0,130.0,68.0,71.0,171.0,172.0,198.0,30,119
3,00:09:59.735,00:09:59.735,5,--,--,30.01,30.01,30.74,125.0,137.0,69.0,71.0,176.0,176.0,195.0,30,120
4,00:09:53.345,00:09:53.000,5,--,--,30.34,30.35,31.07,132.0,140.0,69.0,72.0,181.0,181.0,214.0,29,121
5,00:09:53.523,00:09:53.523,5,--,--,30.33,30.33,31.14,138.0,149.0,70.0,74.0,181.0,180.0,231.0,30,121
6,00:09:56.514,00:09:56.000,5,--,--,30.18,30.2,31.04,139.0,145.0,69.0,72.0,178.0,178.0,207.0,30,121
7,00:09:58.032,00:09:58.032,5,--,--,30.1,30.1,30.8,132.0,140.0,69.0,71.0,174.0,176.0,208.0,29,120
8,00:09:48.015,00:09:48.000,5,--,--,30.61,30.61,31.44,139.0,144.0,70.0,73.0,185.0,185.0,210.0,29,123
9,00:09:50.652,00:09:50.000,5,--,--,30.47,30.51,31.17,139.0,147.0,70.0,72.0,183.0,183.0,202.0,30,122
10,00:09:49.602,00:09:49.602,5,--,--,30.53,30.53,31.41,141.0,150.0,70.0,73.0,184.0,184.0,211.0,30,123
11,00:09:51.790,00:09:51.790,5,--,--,30.42,30.42,31.14,142.0,152.0,70.0,72.0,182.0,182.0,204.0,30,122
12,00:00:50.477,00:00:50.000,0.43,--,--,30.62,30.91,31.24,142.0,145.0,70.0,74.0,186.0,186.0,207.0,30,10
13,00:09:19.884,00:09:19.884,5,--,--,32.15,32.15,41.58,151.0,157.0,77.0,83.0,209.0,210.0,285.0,31,131
14,00:05:40.116,00:05:40.000,2.9,--,--,30.7,30.71,31.94,157.0,160.0,75.0,79.0,210.0,210.0,242.0,30,79
15,00:00:00.876,00:00:00.876,0.02,--,--,62.7,62.71,29.63,157.0,157.0,72.0,72.0,209.0,202.0,202.0,30,0
Summary,02:00:00.876,01:59:58.757,60.53,--,--,30.26,30.27,41.58,136.0,160.0,70.0,83.0,183.0,182.0,285.0,29.91,1481
