Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:00.000,00:04:55.000,0.84,10,1,0:05:57  ,0:05:51  ,0:05:13  ,161.6875,170.0,100.80999755859375,140.0,155.0,31,60
2,00:05:19.726,00:05:19.726,1,2,0,0:05:19  ,0:05:19  ,0:05:03  ,166.078125,169.0,113.95999755859376,152.0,156.0,30,74
3,00:00:40.274,00:00:40.000,0.12,1,0,0:05:41  ,0:05:39  ,0:05:22  ,165.78125,167.0,109.8800048828125,153.0,155.0,29,9
4,00:04:31.194,00:04:31.000,1,0,0,0:04:31  ,0:04:31  ,0:04:23  ,174.4375,178.0,126.30000000000001,170.0,175.0,29,69
5,00:01:28.806,00:01:28.806,0.33,0,0,0:04:32  ,0:04:32  ,0:04:27  ,173.703125,176.0,128.29000244140624,174.0,176.0,29,23
6,00:02:00.000,00:01:59.000,0.36,0,4,0:05:33  ,0:05:30  ,0:04:33  ,164.109375,171.0,110.25999755859375,163.0,173.0,30,27
7,00:04:31.671,00:04:31.671,1,1,0,0:04:31  ,0:04:31  ,0:04:13  ,172.671875,183.0,127.96999511718751,174.0,178.0,30,71
8,00:01:28.329,00:01:28.000,0.32,0,0,0:04:35  ,0:04:34  ,0:04:34  ,172.265625,174.0,126.0,177.0,179.0,29,23
9,00:02:00.000,00:01:59.000,0.35,0,0,0:05:40  ,0:05:37  ,0:04:37  ,163.03125,166.0,108.96999511718751,168.0,178.0,29,28
10,00:04:24.878,00:04:24.878,1,0,1,0:04:24  ,0:04:24  ,0:04:15  ,174.203125,178.0,128.9199951171875,179.0,186.0,30,71
11,00:01:35.122,00:01:35.000,0.36,1,0,0:04:27  ,0:04:26  ,0:04:18  ,172.53125,174.0,130.83000488281252,183.0,186.0,30,26
12,00:02:00.000,00:01:59.000,0.34,4,3,0:05:49  ,0:05:46  ,0:04:25  ,163.09375,169.0,103.69000244140625,172.0,184.0,30,28
13,00:05:00.000,00:05:00.000,0.92,4,7,0:05:24  ,0:05:24  ,0:05:16  ,164.71875,168.0,106.44000244140625,170.0,179.0,30,67
14,00:05:00.208,00:04:53.000,0.83,2,1,0:06:01  ,0:05:52  ,0:05:37  ,163.046875,171.0,89.87000122070313,166.0,170.0,30,64
Summary,00:45:00.208,00:44:44.081,8.77,25,17,0:05:07  ,0:05:06  ,0:04:13  ,167.71875,183.0,113.7,166.0,186.0,29.89,642
